	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
yhbU	61	90	1	0
yhbV	28	71	3	2
yhbW	204	327	10	13
mtr	272	413	108	90
deaD	2393	3284	68	78
nlpI	7190	9228	263	387
pnp	13630	19469	308	494
truB	1656	2491	29	34
infB	19838	28430	202	221
nusA	6907	9729	160	150
argG	15789	23469	99	118
yhbX	118	181	15	25
glmM	3474	5330	93	107
folP	836	1265	11	20
ftsH	12191	18771	1610	1800
rrmJ	3077	4170	599	683
dacB	254	315	2	3
obgE	1721	2480	765	804
yhbE	1246	1639	158	168
ispB	1713	2326	64	97
murA	3814	5074	26	21
yrbC	1824	2855	131	117
yrbE	1088	1589	56	80
yrbF	2145	3002	101	109
yrbG	415	552	21	22
kdsD	1748	2269	18	38
lptB	1554	2246	89	93
rpoN	5556	7343	167	212
yhbJ	1503	1901	31	35
yrbL	3322	4844	757	762
mtgA	650	900	63	55
elbB	722	1205	77	75
arcB	1445	1841	251	230
yhcC	22	46	2	3
gltB	29527	44479	98	100
gltD	16077	24852	38	69
nanE	26	48	21	19
nanT	39	51	37	39
nanA	86	137	15	16
nanR	675	911	31	18
dcuD	36	41	1	7
sspA	2752	4417	131	155
degQ	1242	1782	61	68
degS	525	722	12	18
mdh	18029	25462	593	697
aaeB	76	91	8	13
aaeA	162	204	4	10
aaeR	161	220	13	15
tldD	1601	2572	180	236
rng	1977	2884	56	58
mreC	868	1348	14	16
mreB	2843	4132	43	35
csrD	746	1058	90	98
yhdH	658	1012	233	204
accC	7848	12026	92	114
panF	261	359	13	23
prmA	703	1022	40	36
dusB	7192	10040	71	72
yhdJ	60	82	5	3
envR	16	42	0	0
acrE	9	29	0	0
acrF	211	277	25	33
aapQ	30	67	13	12
aapP	125	127	4	5
aroE	1010	1338	78	80
smf	694	962	231	249
fmt	1999	2669	700	610
rsmB	1032	1544	49	73
trkA	1023	1369	159	148
rpoA	63750	99111	700	830
rpsD	56084	79228	436	537
secY	62194	94262	1656	2023
rpsC	43710	65367	364	444
rplB	43190	65015	312	383
rplD	27394	44924	263	259
rplC	43073	66164	282	319
tufA	159018	235885	1962	2226
fusA	134798	196610	2041	2350
yheO	1315	1806	29	27
fkpA	6371	8509	171	215
kefB	487	707	73	73
yheS	885	1163	22	33
yheT	221	347	25	23
prkB	520	636	62	47
crp	5196	7214	195	234
yhfK	943	1463	11	13
argD	6085	9503	33	36
fic	185	219	725	664
tsgA	228	310	10	9
nirB	99	184	5	7
nirC	67	134	4	0
cysG	650	939	24	37
frlA	20	23	5	1
frlB	12	24	5	3
frlC	35	50	2	3
frlD	34	69	5	11
frlR	141	210	17	9
yhfS	38	53	8	4
yhfT	29	43	1	0
php	28	30	2	5
yhfZ	207	287	61	77
trpS	4400	6398	85	86
gph	1427	2014	16	12
rpe	1177	1640	12	16
dam	913	1203	8	15
aroB	5148	7190	70	99
hofQ	53	90	4	2
yrfD	66	84	3	4
mrcA	1347	1906	22	21
igaA	695	1017	42	31
yrfG	526	839	37	35
hslO	976	1573	81	83
pck	1424	2140	1851	1789
envZ	508	770	60	63
ompR	840	1082	198	190
yhgF	2486	3912	12	21
feoB	1106	1915	38	53
yhgA	105	166	2	2
bioH	261	393	9	15
gntX	191	219	8	11
gntT	232	440	43	59
malQ	1363	1856	43	56
malP	2117	2646	44	44
malT	4672	6637	1502	1437
rtcB	133	195	113	112
glpG	1090	1398	24	19
glpD	17703	25954	21419	20731
glgP	4766	7505	348	386
glgA	2495	3903	194	232
glgC	3777	5434	291	338
glgX	3035	4569	300	348
glgB	5762	8874	142	202
asd	18393	27357	180	217
gntU	86	185	8	10
gntR	382	491	39	35
yhhW	212	314	25	23
yhhX	818	1191	127	137
yhhZ	6	12	1	0
ggt	182	300	6	7
ugpC	162	226	27	49
ugpE	41	52	8	10
ugpA	21	24	9	9
ugpB	514	664	1493	1657
livF	3635	5092	24	23
livG	2942	4135	9	22
livM	3577	5841	34	30
livH	3000	4862	27	30
livK	10480	14682	97	103
livJ	30391	41741	279	258
rpoH	2459	3999	449	455
ftsX	978	1568	150	149
ftsE	701	1027	61	64
ftsY	3505	4730	106	127
yhhN	112	195	39	40
yhhQ	101	136	8	5
yhhS	188	258	12	10
yhhT	103	139	89	116
nikA	22	35	1	1
nikB	13	28	0	0
nikC	12	18	1	0
nikD	23	29	0	0
nikE	13	31	2	6
yhhI	65	125	3	5
yhhJ	491	681	45	40
rbbA	1150	1933	56	65
yhiI	1397	2342	199	237
yhiM	54	60	12	10
yhiN	616	856	71	63
pitA	2525	3542	157	180
yhiP	117	146	144	169
yhiQ	224	366	21	40
prlC	1908	3084	251	309
yhiR	201	279	4	6
gor	1486	2257	57	55
arsB	59	71	13	17
yhiD	36	56	4	5
mdtE	17	25	4	2
mdtF	175	229	19	10
gadW	291	403	15	24
gadX	498	801	108	133
