"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1838","rtn",237.454400848725,0.237372513731532,0.184156716323887,1.28897016883192,0.197408457658474,0.253580722813741,225.911315387728,209.225383089925,246.361103146753,268.319801770493
"1839","nudF",291.302593419882,0.216513694292262,0.169016046489737,1.28102448725428,0.200185065209632,0.257007579641078,271.696008639641,266.413654467838,297.799135671899,329.301574900151
"1840","moeB",158.988124707391,0.278290990095982,0.218101584048965,1.27596959604614,0.201966267019918,0.25915345458371,150.607543591819,136.693916952084,181.386746272884,167.264292012775
"1841","rutD",4.99920410269309,1.20348664945594,0.946729478134854,1.27120436962301,0.203655952471691,0.261179632691832,1.80729052310182,3.48708971816541,9.47542704410588,5.22700912539922
"1842","phoA",145.474499656665,0.285861570436124,0.224934965859679,1.27086319969681,0.203777320305114,0.261193405667956,134.94435905827,126.930065741221,159.728627314928,160.294946512243
"1843","yecE",56.0090714649336,-0.452040661485548,0.356267779023526,-1.26882274542065,0.204504290814984,0.261840905972981,63.8575984829311,65.5572867015098,40.6089730461681,54.0124276291253
"1844","yjgB",33.2107185625584,0.561175496837294,0.442253649286053,1.26889964106169,0.204476860371434,0.261840905972981,28.9166483696292,24.4096280271579,44.6698703507849,34.8467275026615
"1845","lldR",80.9474022586418,0.3784672958448,0.299315791509376,1.26444145808774,0.20607162042044,0.263580644121703,75.9062019702766,64.8598687578767,102.876065050292,80.1474732561214
"1846","rbsA",271.369453637502,0.239539269609659,0.189448903363867,1.26440040220019,0.206086348601722,0.263580644121703,249.406092188052,249.675623820644,342.469006022684,243.92709251863
"1847","aaeB",40.9617971762745,0.505918075519536,0.400611601519924,1.26286426453971,0.206637964463506,0.264143061233534,31.9287992414656,35.5683151252872,52.7916649600185,43.5584093783269
"1848","yaiP",13.3105524380625,0.824552282186784,0.65440631220894,1.26000050244552,0.207669180989292,0.265174113745657,10.2413129642437,8.36901532359699,18.9508540882118,15.6810273761977
"1849","yicJ",37.6321273794702,0.53355296331398,0.423372224425053,1.2602455535163,0.207580794398789,0.265174113745657,34.9409501133019,25.8044639144241,39.2553406112958,50.5277548788592
"1850","yegL",6.68958212927272,-1.11465923190854,0.885440523896488,-1.25887533021794,0.208075365753295,0.265549155969475,10.843743138611,8.36901532359699,4.06089730461681,3.48467275026615
"1851","yicL",173.074698212643,-0.273951899058728,0.218024630989335,-1.256518118231,0.208928181139459,0.266493482263783,199.404387715568,180.631247400968,174.618584098523,137.644573635513
"1852","narI",29.3601602814346,0.600542018653145,0.478463999654288,1.25514567258365,0.209425883082195,0.266984076650682,27.7117880208946,18.1328665344602,29.7799135671899,41.8160730031938
