	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
ligA	916	802	937	826
zipA	3328	3112	3316	3096
cysZ	387	303	373	300
cysK	18922	18332	18498	17921
ptsI	25773	23771	25737	23743
pdxK	558	577	521	551
cysM	1398	1433	1241	1277
cysA	1940	1963	1524	1528
cysW	1217	1095	1111	1010
cysU	854	823	810	792
cysP	2337	2011	2337	2011
ucpA	7036	6406	6726	6111
yfeT	139	128	128	125
yfeU	269	218	228	186
murP	230	198	212	183
murQ	402	370	370	343
yfeX	864	780	863	779
amiA	397	299	378	286
hemF	176	134	145	119
yfeG	61	59	50	54
eutL	59	45	41	33
eutC	53	52	52	51
eutB	86	93	82	91
eutA	28	28	27	26
eutH	54	40	49	36
eutG	25	23	23	19
eutJ	7	10	5	9
eutE	17	25	13	18
eutI	137	116	137	113
eutT	86	84	85	84
eutQ	121	115	121	115
maeB	18584	18886	16573	16815
talA	375	298	364	286
tktB	275	235	274	234
ypfG	135	137	127	134
aegA	102	100	100	97
narQ	212	200	205	186
acrD	193	188	182	183
dapE	707	721	646	648
ypfH	234	237	234	237
ypfJ	671	531	650	513
purC	3751	3274	3419	3002
nlpB	5250	4800	5250	4800
dapA	6314	5828	6313	5826
hyfA	4	5	4	5
hyfC	5	10	5	10
hyfD	9	9	9	9
hyfE	7	0	7	0
hyfG	19	20	18	20
hyfI	14	8	14	8
perM	320	245	316	243
yfgC	1642	1487	1624	1472
hda	436	356	423	353
uraA	576	554	569	545
upp	2141	2143	2092	2088
purM	2791	2517	2769	2497
purN	499	460	496	457
ppk	915	784	873	739
ppx	659	605	641	596
yfgF	110	89	110	88
guaA	2036	1880	1999	1852
guaB	1433	1247	1297	1122
xseA	253	215	238	200
der	1605	1421	1584	1410
yfgL	4217	3794	4205	3777
yfgM	1800	1712	1800	1712
hisS	3265	2891	3337	2948
ispG	1607	1445	1631	1479
