	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
cyoE	5930	4337	4450	4195	4497	3191	6642	10506	7276	3699	142	156	6888	10920	7546	3825	147	162	5672	4170	4272	4021	4329	3068
cyoC	4300	2849	3149	2924	2000	1489	5135	7496	5553	2795	57	88	5256	7663	5686	2861	61	89	4221	2795	3085	2861	1945	1455
cyoB	17776	13265	14175	13076	7169	5204	24025	35165	24140	12237	251	258	24764	36234	24833	12601	252	262	17541	13080	13991	12918	7058	5128
cyoA	11468	8536	10111	9355	5595	4113	15667	23525	16418	8810	190	196	16037	24158	16821	9026	193	201	11025	8231	9767	9056	5422	3982
ampG	279	145	199	163	20	14	417	517	374	221	2	1	436	533	389	232	2	1	269	139	187	155	19	14
tig	23876	16964	16101	15870	619	470	28633	44739	29041	15408	189	208	28748	44907	29156	15467	190	208	23817	16921	16057	15842	619	469
clpP	1845	1336	1534	1412	915	686	3430	4690	3194	1836	241	282	3436	4697	3201	1839	243	282	1839	1334	1531	1406	915	685
clpX	5310	3766	5279	4755	5600	4565	6302	10075	7267	4226	1187	1319	6742	10769	7784	4553	1280	1398	4995	3552	4943	4456	5343	4358
lon	7562	5168	5722	5384	3583	2628	8863	14122	8482	5395	225	245	9078	14444	8660	5513	231	259	7661	5234	5752	5399	3611	2659
ppiD	6413	4667	7845	7258	2736	2008	6786	9613	8763	4603	141	173	7020	9927	9069	4773	148	184	6218	4516	7599	7019	2670	1965
queC	477	371	477	468	166	133	988	1416	1110	580	26	16	1058	1534	1167	624	28	16	438	343	440	425	155	123
ybaE	70	48	340	300	459	394	88	139	339	144	66	82	94	142	355	148	70	82	67	46	318	287	453	380
cof	141	62	163	155	463	411	168	229	160	111	26	21	180	248	174	117	36	36	147	69	190	183	540	465
mdlA	217	115	255	207	81	54	263	337	290	158	17	19	268	347	297	162	18	19	215	113	244	203	80	54
mdlB	166	103	173	157	38	30	170	251	238	153	2	5	179	256	246	157	2	5	162	103	170	151	38	29
amtB	131	120	92	75	77	56	261	364	172	99	10	10	282	422	213	104	11	10	121	104	82	68	68	47
tesB	147	123	167	163	125	93	264	486	408	183	20	20	269	493	412	184	20	20	145	120	167	162	122	90
ylaB	138	108	222	205	130	106	264	320	358	185	57	81	268	325	361	186	57	82	137	108	221	204	129	105
acrB	8391	5750	6312	5874	1861	1318	7570	11312	8469	4868	173	237	7739	11652	8682	4971	176	241	8119	5595	6129	5716	1825	1298
acrA	4291	3151	3166	3001	710	513	5857	7718	5699	3282	73	80	5865	7728	5706	3290	73	80	4290	3150	3166	2999	710	513
acrR	368	276	403	334	191	154	578	706	679	414	17	25	578	706	679	414	17	25	368	276	403	334	190	154
kefA	1331	1065	1403	1367	376	271	1680	2473	1689	920	30	35	1775	2629	1799	980	30	36	1233	990	1316	1285	357	259
dnaX	1146	754	969	819	134	96	1551	2020	1725	861	33	35	1618	2125	1801	903	33	35	1110	734	921	788	132	89
recR	802	574	599	537	53	35	1139	1694	1125	663	30	36	1179	1771	1192	691	31	38	740	542	555	498	49	32
htpG	3901	2838	4626	4260	8461	6993	6811	11022	6929	4721	305	348	6943	11246	7078	4813	309	354	3826	2792	4532	4186	8350	6896
adk	4242	3369	3774	3686	328	266	7239	9543	6031	3221	26	36	7421	9786	6181	3307	27	36	4220	3346	3760	3672	327	266
hemH	256	177	207	193	84	69	237	344	292	154	97	113	249	358	303	160	101	117	252	174	202	188	82	67
aes	70	46	279	227	265	221	53	83	193	55	23	20	55	84	198	59	24	20	68	46	273	220	260	215
gsk	921	663	514	413	53	40	1012	1303	728	472	12	6	1048	1342	752	482	12	6	883	628	487	387	53	40
ybaL	795	525	599	489	235	216	801	1199	1218	682	139	134	877	1311	1319	752	149	144	732	482	548	448	214	205
fsr	112	88	159	114	60	67	172	222	294	183	8	8	176	228	308	189	8	8	110	85	157	114	59	63
ushA	993	695	1683	1453	472	365	1523	2131	2109	1115	173	161	1642	2344	2317	1209	193	190	1093	775	1811	1575	517	398
ybaP	188	122	91	70	77	46	205	278	187	100	8	5	217	302	196	106	8	5	174	110	82	67	72	44
copA	624	448	537	476	563	416	705	1030	898	475	78	97	778	1136	1015	539	89	114	559	398	478	428	497	365
ybaS	166	161	23	32	19	17	64	93	68	43	20	27	73	97	75	45	22	34	146	147	22	30	18	14
ybaT	132	108	47	41	28	18	55	98	58	64	20	28	55	99	58	64	20	28	132	108	47	41	28	18
ybbK	256	225	651	532	863	655	347	519	533	316	801	776	354	540	547	326	839	801	247	220	631	517	835	634
ybbL	191	138	211	178	141	116	359	464	345	198	9	10	374	490	369	208	11	9	177	133	201	173	134	111
ybbM	197	141	223	209	107	77	270	372	272	167	10	13	272	373	272	169	10	13	196	141	223	208	106	76
ybbN	999	597	735	728	584	470	1670	2601	1687	1012	49	59	1815	2776	1825	1090	53	62	965	573	711	710	577	457
ybbO	214	117	134	129	75	61	280	368	269	153	9	9	298	394	288	174	11	13	199	113	123	116	72	56
tesA	212	114	246	221	208	185	324	397	486	259	34	40	324	397	486	259	34	40	212	114	246	221	208	185
ybbA	126	80	177	136	148	127	127	219	209	111	33	26	129	227	220	114	34	27	125	79	172	135	143	123
ybbP	282	179	393	314	219	163	276	458	405	238	26	22	289	484	432	254	27	23	262	168	372	298	204	151
ybbB	91	53	68	61	28	19	154	240	204	91	10	9	169	254	213	98	11	9	85	50	64	58	26	16
ybbS	14	9	13	16	14	19	12	17	8	5	0	1	12	18	8	5	0	1	13	8	13	14	14	18
allR	1110	752	894	693	1329	1199	1355	2000	1586	904	1908	2352	1371	2024	1602	912	1914	2358	1100	741	886	686	1322	1185
gcl	36	16	34	41	15	22	40	49	64	35	30	30	52	66	81	41	36	37	26	15	29	34	14	18
hyi	12	6	14	12	13	12	10	27	24	10	4	3	10	27	24	10	4	3	12	5	14	12	13	12
glxR	12	18	16	17	10	4	20	29	25	20	3	1	20	29	25	20	3	1	12	18	16	17	10	4
ybbW	6	6	23	21	68	45	4	8	11	13	12	9	4	8	13	13	14	11	6	6	20	19	67	42
allB	46	38	120	127	458	279	46	60	151	86	22	36	51	65	166	92	23	37	39	34	108	116	412	242
ybbY	22	9	13	16	16	17	24	26	28	18	4	3	27	28	33	21	6	4	20	8	13	12	15	16
glxK	57	57	92	89	109	77	62	95	97	43	10	12	63	96	100	44	10	12	54	57	91	87	107	73
ylbA	118	86	228	210	172	156	278	368	353	225	2	6	289	377	367	231	2	6	115	82	220	203	165	150
allC	49	38	181	129	99	66	110	163	182	108	5	8	124	177	202	117	6	8	44	36	169	118	95	61
allD	16	17	72	65	25	22	13	16	24	16	1	1	14	16	24	17	1	1	16	16	71	62	25	22
ylbE	11	13	49	28	20	23	20	30	34	17	2	1	21	33	34	17	2	1	11	13	48	27	20	23
ylbF	10	6	14	18	15	12	13	20	13	12	1	1	13	22	14	13	1	1	10	6	13	16	13	12
ybcF	39	18	38	21	8	6	30	45	30	16	2	3	49	75	46	31	2	4	29	15	29	17	7	5
purK	1930	1281	886	717	22	19	1771	2617	1442	762	2	8	2096	3142	1725	927	3	10	1585	1045	740	601	16	15
lpxH	340	296	281	242	35	15	635	961	512	332	4	4	718	1101	592	379	5	4	308	269	249	214	33	13
cysS	1580	1169	956	920	154	118	2236	3197	1726	1075	32	34	2250	3237	1750	1086	33	35	1562	1157	939	914	153	117
folD	781	534	551	512	329	293	803	971	718	493	21	14	844	1037	752	518	22	15	746	500	522	486	301	281
sfmC	10	8	17	14	70	46	5	10	13	0	0	0	5	10	14	0	0	0	8	8	17	12	65	43
sfmH	5	12	10	8	11	6	8	10	11	9	2	0	8	10	11	9	2	0	5	12	10	8	10	6
fimZ	1	1	6	7	13	10	8	13	11	16	2	0	8	13	11	16	2	0	1	1	6	7	13	10
envY	47	32	36	38	31	22	35	63	32	36	3	1	38	64	35	41	3	1	48	34	36	40	32	22
ybcH	29	15	27	33	51	41	37	59	56	35	5	3	44	69	60	39	5	3	28	12	26	31	47	40
nfrB	61	38	69	63	69	49	130	127	151	75	23	19	135	131	165	79	25	21	57	31	66	60	65	44
cusR	94	75	82	80	13	9	102	171	136	65	2	8	107	184	151	70	4	9	81	68	81	77	13	9
cusC	7	6	7	7	2	3	20	37	23	21	3	1	1334	1128	915	460	6	8	173	116	127	130	21	22
cusB	11	4	13	15	12	2	18	37	33	16	3	0	18	37	34	16	3	0	11	4	13	15	12	2
cusA	42	28	63	63	36	20	51	92	88	54	5	9	53	95	91	56	5	9	41	28	60	61	35	20
pheP	854	699	402	349	152	113	381	686	384	225	7	9	392	720	410	236	7	10	809	683	382	335	139	109
ybdG	643	537	498	468	295	241	684	1024	566	367	17	21	692	1035	573	372	17	21	637	535	493	462	295	239
nfnB	968	658	730	735	270	195	1099	1517	901	516	11	18	1125	1555	930	533	12	19	948	649	712	719	264	191
ybdK	18	8	22	17	75	73	51	69	147	105	301	294	57	74	167	117	349	332	17	6	20	16	68	66
fepA	8388	2866	2257	2096	402	279	1663	2409	1511	667	23	28	2018	2915	1848	791	30	34	6995	2363	1907	1717	338	234
fepC	266	102	178	133	54	28	165	194	140	87	1	1	205	252	184	106	2	1	223	86	147	114	45	24
fepG	158	55	118	83	69	40	90	131	105	44	3	6	96	149	120	47	3	6	140	43	111	76	64	34
fepD	100	51	78	64	85	56	56	86	77	48	8	14	60	91	81	48	8	14	97	48	75	61	84	50
ybdA	381	147	140	112	78	47	239	383	240	105	4	8	242	395	245	106	4	8	378	146	139	111	77	46
fepB	365	141	197	190	96	73	223	300	246	127	5	12	242	319	258	134	6	13	329	115	176	161	85	63
entC	1002	296	280	205	77	59	577	835	498	236	13	20	621	906	542	255	13	22	932	269	256	188	69	57
entE	1613	476	421	364	105	78	744	1203	702	313	32	31	782	1270	725	330	32	33	1553	463	402	350	98	76
entB	1693	505	533	515	100	68	670	1039	689	281	18	22	676	1051	697	284	18	22	1686	500	531	512	100	68
entA	1201	373	353	344	103	65	400	558	396	162	11	17	443	633	439	180	12	22	1101	344	329	312	91	62
cstA	3522	2438	55920	48127	35384	26587	1590	2356	29040	10771	9899	10389	1814	2653	32937	12211	11411	11939	3084	2179	49377	42578	31354	23479
ybdH	593	434	1630	1336	1377	885	488	755	1419	613	147	155	631	956	1888	834	205	230	467	355	1138	937	1024	628
ybdL	203	141	178	148	260	121	419	629	577	336	5	16	427	641	583	340	5	16	195	140	177	145	257	120
ibrB	37	29	47	38	39	38	70	86	90	49	3	3	70	89	93	51	3	3	36	29	45	36	39	38
ibrA	19	10	22	14	21	10	30	32	36	17	2	3	35	32	38	17	2	3	18	10	22	14	21	10
ybdO	7	12	24	12	18	10	18	32	28	15	5	1	20	32	32	16	5	1	7	12	23	11	15	10
dsbG	272	166	182	187	94	78	308	346	350	185	26	28	308	347	350	185	26	28	272	166	182	187	94	78
ahpF	2862	2053	2669	2552	726	554	3591	5251	3675	2056	73	84	3667	5373	3766	2094	73	87	2809	2007	2627	2510	712	542
ybdR	40	26	75	52	70	56	99	150	280	116	16	21	105	155	287	119	16	21	40	26	74	51	68	56
rna	189	130	199	171	339	288	484	582	411	257	77	68	484	585	424	262	77	69	184	128	196	168	334	283
citT	19	13	37	24	21	31	35	49	34	27	2	3	35	50	35	27	3	3	19	13	37	24	21	31
citG	6	5	8	6	0	1	15	16	19	12	6	1	15	16	19	13	6	1	6	5	8	5	0	1
citF	3	1	4	3	2	4	5	6	8	4	1	2	5	6	8	4	1	2	2	1	4	2	2	4
citE	4	5	7	7	5	5	8	12	16	11	2	1	9	12	16	12	2	1	4	5	7	7	5	5
citC	9	7	13	10	12	14	27	29	19	12	0	1	27	31	20	12	0	1	8	7	12	10	11	14
citA	156	92	167	174	72	49	204	304	320	182	7	8	211	312	327	186	7	8	151	90	163	172	72	47
citB	52	47	59	64	37	24	86	150	112	76	4	3	109	165	128	81	4	3	46	41	52	59	35	22
dcuC	17	15	49	37	23	17	44	59	57	28	9	9	45	60	62	31	9	9	14	15	49	35	21	17
lipA	945	701	1701	1412	2910	2398	1570	2399	2844	1554	193	223	1572	2400	2849	1558	194	223	945	701	1701	1412	2908	2396
ybeF	47	48	105	89	89	75	96	105	126	76	5	10	96	105	126	76	5	10	47	48	105	89	89	75
lipB	241	138	112	116	57	61	682	735	434	257	2	4	685	743	436	258	2	4	236	136	110	116	57	61
dacA	1361	946	1078	936	268	239	2020	2819	1648	1116	13	10	2046	2855	1671	1127	13	10	1353	941	1069	927	266	239
rlpA	1170	750	969	883	150	120	1591	2158	1793	981	38	43	1707	2318	1946	1054	39	44	1069	700	905	811	135	108
mrdB	510	351	480	390	61	36	876	1115	946	476	14	16	890	1142	969	485	16	19	493	344	473	376	58	34
mrdA	739	547	555	534	72	50	1300	1637	1078	619	15	10	1360	1717	1120	656	14	10	712	531	530	512	72	49
phpB	75	49	62	71	16	12	64	119	101	53	7	5	64	120	102	53	7	5	75	49	62	71	16	12
nadD	171	121	152	117	52	45	227	290	251	170	3	9	227	292	251	170	3	9	171	121	152	117	52	45
holA	585	399	497	418	73	60	825	983	875	531	14	18	827	989	880	533	14	18	578	397	495	415	73	60
leuS	7709	5412	6364	5826	2695	1959	9835	13866	9824	5486	424	441	9928	14017	9905	5540	428	444	7621	5355	6278	5742	2662	1931
ybeQ	64	48	186	167	157	148	101	148	200	136	125	162	102	151	201	137	125	162	63	48	185	166	157	146
ybeU	7	11	15	9	6	7	17	14	18	8	0	0	18	15	18	8	0	0	7	11	15	9	6	7
hscC	62	43	227	179	59	58	73	105	148	63	8	8	77	113	156	67	9	9	58	41	218	167	54	52
rihA	499	361	2423	2137	580	409	509	602	2283	968	31	28	541	654	2407	1034	32	31	456	329	2222	1944	550	381
gltL	680	508	2822	2592	446	288	513	746	1001	469	12	5	577	832	1136	533	12	8	579	427	2433	2253	391	257
gltK	446	315	2036	1731	358	318	278	379	539	270	8	14	313	431	621	316	9	15	392	283	1842	1582	329	296
gltJ	515	372	2500	2328	437	295	190	320	485	212	6	7	251	418	622	277	8	9	481	330	2303	2115	397	276
gltI	4413	3067	30500	26909	8270	6517	2659	3683	6517	3440	307	313	3044	4216	7493	3923	348	383	4385	3082	30565	27185	8571	6698
ybeX	1711	1158	1574	1355	1069	823	2831	3894	3631	2056	603	687	2843	3910	3644	2062	603	688	1708	1150	1569	1348	1068	822
ybeZ	1309	915	1188	1059	1110	874	2702	3930	3173	1880	812	807	2700	3928	3195	1880	810	819	1266	896	1148	1019	1058	836
miaB	1355	966	696	574	101	71	1839	2763	1605	901	63	81	1941	2938	1692	979	65	85	1281	907	658	537	95	65
asnB	2387	1490	983	979	370	274	2754	3812	2309	1276	66	55	3214	4530	2706	1544	86	70	1954	1226	812	817	306	220
nagD	497	294	426	391	150	97	685	871	775	426	12	15	781	1019	897	512	19	16	399	247	337	311	115	76
nagC	550	374	546	452	349	281	814	1024	998	556	44	66	850	1055	1029	570	44	66	542	368	543	447	343	277
nagA	990	709	999	856	433	358	790	1137	1177	622	121	123	794	1142	1182	625	121	123	986	708	992	854	432	358
nagB	554	404	717	623	387	346	421	540	683	390	109	120	451	594	740	418	123	130	482	347	637	565	355	317
nagE	1345	981	5721	5140	3071	2483	1125	1662	3628	1716	484	510	1190	1765	3857	1835	501	525	1282	938	5443	4901	2950	2388
glnS	3616	2528	2770	2556	1210	995	4561	6708	4329	2640	51	44	4965	7319	4741	2884	56	44	3171	2260	2467	2276	1076	887
ybfM	28	22	281	190	202	193	23	32	136	51	6	7	25	36	140	53	7	7	27	21	275	184	195	181
ybfF	289	181	248	219	95	93	229	327	291	178	8	8	234	337	302	184	8	8	275	176	243	208	91	87
pgm	4898	3386	8374	7844	3601	2561	4323	6251	5196	2754	142	198	4722	6912	5697	3065	159	221	4432	3054	7561	7131	3259	2317
potE	78	60	151	125	238	211	93	112	142	63	29	43	104	125	160	80	33	46	71	56	135	113	221	192
kdpE	60	37	57	39	54	45	46	71	77	36	42	50	51	80	85	42	46	59	55	31	49	35	46	40
kdpD	161	91	205	175	161	120	240	359	422	194	263	306	273	406	461	225	270	312	143	78	181	159	144	111
kdpB	33	20	74	96	17	11	37	75	102	50	2	3	46	84	116	54	2	3	26	20	68	85	14	8
ybgH	403	307	251	240	53	39	373	521	233	88	9	6	405	567	254	97	9	7	372	290	231	223	49	39
ybgI	1190	885	1049	1005	472	324	2156	3004	2385	1291	125	93	2212	3079	2476	1331	129	94	1142	861	1015	972	463	317
ybgJ	825	528	781	697	282	218	1099	1550	1296	661	61	61	1102	1558	1298	662	61	61	818	525	779	695	282	215
ybgK	966	730	957	870	369	251	1115	1524	1222	650	63	62	1209	1674	1345	718	72	71	843	628	831	782	316	218
nei	245	192	166	140	53	37	221	330	181	93	2	3	241	361	188	101	2	3	230	180	156	135	50	33
abrB	58	37	20	23	21	18	60	87	40	30	5	4	67	100	45	34	6	4	48	30	16	21	19	15
gltA	9599	6088	13613	13498	8364	6295	10167	12766	21271	12704	986	1121	10494	13211	21985	13146	1028	1155	9166	5805	13016	12972	8031	6031
sdhA	9641	6753	23844	22192	11232	8348	6090	8582	16627	8013	241	314	6657	9406	18132	8745	268	337	8711	6136	21655	20105	10256	7600
sdhB	3931	2942	11231	10027	4643	3540	3553	4736	9374	4450	129	162	3629	4830	9537	4529	129	165	3891	2904	11130	9928	4591	3495
sucA	18838	12552	39832	37801	20312	14620	12165	17865	24015	12875	380	433	12401	18181	24432	13095	389	435	18460	12302	38937	36997	19916	14335
sucB	12045	7925	28326	25864	9053	6169	6961	10958	13309	7508	212	264	7042	11045	13412	7584	212	265	11986	7892	28161	25693	8983	6136
sucC	13132	8836	46950	44087	11887	8454	10267	14982	25450	14183	241	369	10310	15054	25587	14242	241	370	13071	8790	46738	43893	11851	8420
sucD	10225	6606	37599	34805	12092	9334	7065	10766	17357	10584	232	293	8095	12225	19705	12029	248	315	9556	6216	35277	32683	11281	8803
mngR	109	82	168	123	101	95	284	361	335	189	10	11	305	393	362	207	10	11	110	83	169	127	104	92
mngA	15	2	24	33	7	13	15	21	19	16	2	2	16	21	19	17	2	2	15	2	24	33	7	13
cydA	4231	3587	12265	11184	4759	3368	3557	6413	5124	2736	569	650	3558	6420	5126	2736	569	650	4229	3584	12264	11181	4758	3368
cydB	2581	2160	7694	7219	3898	2924	2689	4246	3894	1954	468	547	2452	3882	3531	1777	438	494	2408	2020	7161	6737	3586	2671
tolQ	1298	927	1022	891	164	89	1415	2064	1204	657	13	15	1447	2111	1242	669	14	15	1241	882	952	849	155	83
tolA	2152	1428	1935	1734	352	257	2473	3469	2391	1163	103	123	2473	3469	2391	1163	103	123	2152	1428	1935	1734	352	257
tolB	8869	6433	9056	8126	2035	1455	9298	13606	9226	5218	268	296	9312	13620	9230	5221	268	296	8861	6431	9051	8122	2033	1455
ybgF	3869	2686	3364	3014	657	528	5936	8346	5282	3027	86	99	5962	8379	5304	3035	86	99	3860	2677	3348	3006	657	528
nadA	1475	863	928	839	162	94	3469	4762	3915	2060	79	77	3538	4871	4009	2125	83	77	1427	835	898	816	162	90
pnuC	782	488	585	564	173	124	1392	2080	1618	877	145	143	1392	2080	1618	877	145	143	782	488	585	564	173	124
zitB	211	130	200	192	207	169	338	509	442	224	66	61	338	509	442	224	66	61	211	130	200	192	207	169
aroG	8700	6027	2604	2485	1075	873	10241	12897	4278	3105	41	61	10537	13290	4413	3194	41	63	8400	5850	2526	2422	1038	840
gpmA	8103	5576	7614	7320	3442	2385	14324	21372	14990	7768	996	1064	15188	22630	15851	8205	1059	1123	7750	5339	7270	6975	3270	2270
galM	3012	2282	3530	3329	1011	859	1787	2773	2484	1400	51	64	1971	3051	2712	1516	53	68	2691	2039	3134	2944	886	752
galK	684	559	1099	1193	293	220	1320	1853	2681	1364	52	79	1411	1996	2942	1494	55	79	632	525	1028	1127	283	213
galT	349	213	500	479	138	122	343	435	689	341	41	53	363	468	741	356	45	59	322	201	452	437	127	114
galE	379	242	376	392	228	182	566	728	842	489	126	148	571	750	864	504	132	157	365	235	362	378	222	178
modF	1791	1253	1250	1117	334	251	1622	2163	1680	948	26	37	1660	2219	1704	963	27	38	1736	1208	1218	1090	328	246
modE	286	182	336	309	180	172	467	577	461	266	8	17	468	579	462	267	8	17	284	179	336	308	179	172
modA	270	202	629	466	137	131	1027	1289	2339	1249	28	41	1200	1577	2801	1532	33	45	202	131	472	340	96	88
modB	148	107	274	240	102	44	491	701	1220	629	13	20	504	710	1234	635	13	20	147	106	270	239	101	44
modC	262	178	533	415	101	72	777	1095	1739	984	21	24	834	1182	1900	1068	23	25	232	163	485	374	93	64
ybhA	298	226	271	225	69	44	500	663	514	272	8	10	511	675	525	273	8	10	291	220	266	219	67	44
pgl	644	450	560	477	184	113	699	1002	993	564	51	68	741	1052	1052	606	53	70	622	417	528	456	172	109
ybhD	26	9	45	37	49	42	24	43	49	29	1	2	32	51	61	30	1	4	19	7	32	30	40	38
ybhH	4	1	18	9	22	19	3	6	9	5	0	0	3	6	9	5	0	0	4	1	15	8	22	15
ybhI	1169	845	914	805	223	199	2693	2990	2162	1139	131	132	999	1006	815	419	8	14	372	247	270	220	58	37
ybhJ	67	67	102	85	22	34	99	113	114	64	4	5	101	119	122	67	4	5	63	67	99	83	21	33
ybhC	2704	2226	1938	1807	90	66	2678	3923	2222	1294	30	25	2811	4127	2364	1369	31	27	2565	2110	1840	1722	85	65
bioB	1635	1034	1312	1154	1001	641	1643	2265	1978	1143	25	20	1683	2312	2040	1178	25	21	1581	1002	1270	1113	965	621
bioC	458	278	326	252	47	33	335	511	369	220	3	4	390	608	434	242	4	6	376	224	262	210	37	27
bioD	455	308	366	292	34	22	414	629	456	293	3	3	457	679	497	324	3	3	423	288	333	268	32	22
uvrB	742	529	944	829	1150	977	1003	1551	1472	859	230	236	1044	1609	1519	886	236	244	706	508	903	791	1095	934
ybhK	377	237	540	456	208	137	491	726	837	428	13	8	491	726	837	428	13	8	377	237	540	456	208	137
moaA	963	588	950	700	679	514	1396	1919	1579	940	91	90	1405	1933	1588	948	90	92	955	583	945	699	673	508
ybhL	493	294	615	554	1974	1791	616	827	931	617	1682	1730	627	838	939	626	1693	1741	493	294	605	549	1948	1778
ybhN	8	4	24	10	16	18	30	47	67	51	15	12	36	56	73	54	16	12	7	4	20	10	14	16
ybhO	13	8	26	12	31	16	86	111	177	127	40	41	90	117	181	137	40	41	12	8	26	12	31	15
ybhP	14	13	29	19	34	26	95	145	212	124	42	31	95	145	213	124	42	31	14	13	29	18	34	26
ybhR	46	37	114	78	78	64	61	67	141	76	10	14	63	68	146	77	10	15	45	35	112	76	77	62
ybhS	74	60	136	104	55	57	73	92	107	56	4	11	73	93	107	56	4	11	74	60	136	104	55	57
ybhF	252	185	382	261	143	87	229	315	327	174	19	37	264	358	372	191	21	39	220	163	342	226	119	70
ybhG	160	100	246	241	117	66	238	310	374	227	36	38	252	326	392	235	37	38	150	99	236	236	110	65
ybiH	58	40	77	58	58	37	98	135	122	87	14	14	109	146	128	101	15	17	51	35	72	52	49	28
rhlE	188	111	37	25	21	29	222	320	76	41	3	1	262	376	94	49	3	1	163	90	34	26	16	23
dinG	205	136	186	179	240	186	217	327	320	168	39	45	235	362	351	181	44	47	184	125	169	165	222	166
ybiB	313	226	269	238	259	183	713	895	807	450	128	132	716	906	809	454	128	134	309	224	268	236	259	182
ybiC	2642	1885	2114	2055	867	634	5230	6999	4713	2780	124	129	5256	7057	4740	2795	125	132	2618	1866	2097	2038	860	627
ybiX	50	41	85	98	71	53	109	151	152	89	9	18	113	154	154	91	9	18	50	40	85	98	71	52
fiu	378	123	84	62	77	42	884	1064	530	267	9	9	931	1118	552	283	9	10	361	115	79	54	73	41
ybiN	282	201	148	156	50	35	279	421	256	163	7	6	328	473	281	173	7	7	259	183	132	148	44	31
ybiO	53	27	65	47	56	51	74	137	178	98	38	46	83	156	196	117	44	47	46	23	56	41	48	42
glnQ	785	571	2476	2320	934	808	964	1687	2851	1449	39	63	1059	1808	3067	1560	40	65	764	561	2398	2258	898	781
glnP	540	440	2172	2091	1233	1058	954	1462	2759	1413	95	109	960	1467	2779	1419	95	109	537	439	2163	2083	1231	1058
glnH	2287	1675	14207	12784	9485	7812	3931	4933	12055	6062	618	624	3935	4937	12063	6068	618	624	2283	1674	14197	12773	9478	7805
rhtA	66	46	82	50	28	21	77	104	101	47	10	8	78	104	101	47	10	8	66	46	82	50	28	21
ybiR	264	192	308	282	209	149	336	454	419	242	31	36	340	455	423	245	31	36	259	191	305	280	208	148
ybiS	1606	1102	1049	983	402	344	1970	2541	1550	1080	73	98	2072	2669	1622	1144	73	99	1529	1056	1005	936	393	339
ybiT	2162	1539	1836	1668	399	306	2423	3349	2564	1465	44	52	2545	3528	2708	1543	46	54	2089	1489	1773	1615	379	292
ybiU	108	79	71	59	31	25	286	424	160	104	7	11	289	427	162	107	7	11	106	79	69	59	31	25
ybiV	283	220	153	135	72	41	666	770	374	278	16	9	674	774	378	280	16	9	280	217	149	132	70	41
ybiW	65	39	95	98	69	48	71	89	120	50	7	12	82	102	147	67	7	15	55	36	82	90	64	41
ybiY	11	5	22	16	5	3	18	25	30	11	3	0	20	25	30	10	3	0	10	5	22	15	5	3
fsaA	49	32	49	43	41	35	95	133	102	71	9	6	106	143	110	73	10	7	45	29	47	42	37	32
moeB	274	194	250	196	134	96	345	483	363	194	10	10	412	585	440	244	10	16	220	166	203	167	107	76
moeA	446	291	449	364	310	234	529	841	638	358	36	41	590	929	729	389	36	44	418	269	412	341	295	224
iaaA	1526	1027	1476	1289	404	283	2554	3756	4241	1795	125	131	2493	3671	4159	1754	123	125	1492	998	1441	1261	390	272
yliA	1244	848	1290	1151	224	162	2059	2939	2773	1264	50	58	2086	2977	2802	1277	51	58	1235	841	1279	1138	224	161
yliB	1149	822	1576	1446	255	195	1512	2214	2185	1194	36	42	1645	2399	2372	1283	38	46	1073	772	1461	1345	242	180
yliC	414	262	506	437	57	47	481	711	691	347	8	8	496	732	704	354	8	8	408	253	498	429	56	45
yliD	330	234	352	280	28	25	378	502	424	227	2	10	403	534	448	245	2	10	311	224	327	263	28	25
yliE	417	421	180	149	20	20	886	1216	285	195	1	3	936	1286	295	198	1	3	399	404	172	143	20	20
yliF	167	181	58	50	47	25	364	473	132	68	1	0	365	480	133	70	1	0	166	179	57	47	44	25
yliG	656	412	323	276	50	83	729	964	513	362	2	1	729	964	513	362	2	1	656	412	323	276	50	83
yliI	23	25	40	36	70	61	85	121	182	109	47	42	85	122	185	110	47	42	23	25	40	35	69	61
yliJ	877	643	1277	1144	210	154	1747	2450	2221	1341	36	43	1756	2456	2227	1348	36	43	873	639	1273	1141	210	154
dacC	928	730	1052	945	1038	775	1606	2446	2852	1479	600	568	1664	2521	2931	1516	604	578	909	714	1020	923	1013	755
deoR	472	363	474	383	240	226	574	786	613	343	19	16	575	788	620	344	19	16	469	362	473	383	239	226
cmr	224	173	158	148	126	133	260	339	217	142	227	217	266	340	224	145	229	218	218	171	155	146	126	133
ybjI	225	137	223	202	71	51	466	643	426	255	12	16	481	670	456	264	12	16	212	128	208	187	68	50
ybjJ	107	77	88	87	53	53	190	282	172	117	11	10	191	283	172	117	11	10	107	77	88	87	53	53
