	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
nlpE	249	156	164	106
proS	4696	3265	487	403
yaeB	105	73	20	18
metQ	9968	7020	1978	1296
metI	2125	1584	716	383
metN	2781	2152	801	494
dkgB	168	161	154	129
yafC	217	156	309	219
yafD	612	471	1021	812
mltD	8918	6809	647	489
gloB	255	213	160	143
yafS	235	159	180	173
dnaQ	530	422	420	355
yafT	9	9	6	1
yafV	149	103	103	98
fadE	198	154	947	708
yafJ	395	297	385	286
yafK	799	614	244	209
dinB	103	68	116	81
pepD	2633	1786	958	755
frsA	347	235	423	322
phoE	57	49	135	108
proB	1388	869	309	242
proA	1734	1202	511	394
yagR	11	4	25	16
yagS	4	0	4	4
yagT	4	2	5	10
yagU	414	337	185	138
yagV	159	109	31	9
yagW	468	359	67	38
yagX	1006	677	141	46
yagY	503	331	90	29
insF	32	25	26	20
ykgC	40	29	41	15
ykgD	62	62	48	38
ykgE	92	67	637	615
ykgF	160	138	1122	890
ykgG	131	95	726	545
betA	353	244	66	62
betT	336	268	206	169
yahB	85	58	103	69
yahD	26	15	20	13
yahG	3	7	5	7
yahI	15	13	11	1
yahJ	68	42	38	18
yahK	108	92	340	198
yahN	12	13	338	371
prpR	22	14	110	70
prpB	3	1	130	130
prpC	9	6	108	128
prpD	14	7	150	113
prpE	30	16	213	215
codB	798	600	33	17
codA	1021	792	87	69
cynT	14	5	7	14
cynX	12	6	9	9
lacY	14	12	63	74
lacI	264	173	642	426
mhpR	100	72	2249	1796
mhpB	3	4	7	4
mhpC	12	15	5	12
mhpD	12	7	5	5
mhpF	25	9	12	12
mhpE	28	19	16	16
mhpT	32	21	28	32
frmA	376	251	37	32
yaiO	16	13	200	124
yaiP	19	8	14	9
tauA	58	47	10	5
tauB	38	16	7	6
tauD	36	23	14	8
hemB	1068	828	275	237
yaiV	10	8	35	48
ampH	233	134	57	45
sbmA	139	88	62	62
yaiW	273	183	140	104
ddlA	1133	862	935	657
phoA	140	90	118	92
yaiC	14	13	22	21
proC	272	143	91	82
aroM	144	120	41	28
rdgC	1382	932	134	90
mak	200	144	382	289
araJ	112	96	81	61
sbcD	225	168	80	39
phoB	148	119	83	64
phoR	134	92	72	65
brnQ	358	289	1098	922
proY	350	286	226	200
malZ	296	208	98	73
queA	304	184	15	11
tgt	2566	1841	393	304
secD	7142	5128	803	590
secF	4078	2730	986	735
tsx	2930	2218	2529	2090
ribD	642	395	404	343
thiL	307	244	53	48
yajO	199	155	771	591
dxs	896	680	184	125
ispA	560	335	118	71
thiI	863	638	88	66
panE	264	199	160	126
yajR	293	207	111	88
cyoE	5930	4337	4497	3191
cyoC	4300	2849	2000	1489
cyoB	17776	13265	7169	5204
cyoA	11468	8536	5595	4113
ampG	279	145	20	14
tig	23876	16964	619	470
